id,ABBR,name,state_id,market_id
1,Anch,Anchorage,2,1
2,Knai,Kenai,2,1
3,NPol,North Pole,2,408
4,Anns,Anniston,1,2
5,Brmg,Birmingham,1,3
6,Tscl,Tuscaloosa,1,3
7,Mdvl,Moundville,1,3
8,Mble,Mobile,1,4
9,Slnd,Saraland,1,4
10,Mntg,Montgomery,1,5
11,Shff,Sheffield,1,554
12,ElAR,El Dorado,4,6
13,FtSm,Fort Smith,4,7
14,HeAR,Helena,4,8
15,NLtl,North Little Rock,4,9
16,WtMm,West Memphis,4,11
17,Phnx,Phoenix,3,12
18,Tcsn,Tucson,3,13
19,Bkrf,Bakersfield,5,14
20,Dggt,Daggett,5,15
21,Brsb,Brisbane,5,16
22,Chco,Chico,5,17
23,Cltn,Colton,5,18
24,Frsn,Fresno,5,20
25,Impr,Imperial,5,21
26,LngB,Long Beach,5,22
27,SoGt,South Gate,5,22
28,ElSg,El Segundo,5,22
29,Mtbl,Montebello,5,22
30,VnNy,Van Nuys,5,22
31,Crsn,Carson,5,22
32,SnPd,San Pedro,5,22
33,Atwd,Atwood,5,22
34,Trrn,Torrance,5,22
35,SnFe,Santa Fe Springs,5,22
36,SgHl,Signal Hill,5,22
37,Vntr,Ventura,5,22
38,LAng,Los Angeles,5,22
39,Wlmt,Wilmington,5,22
40,Rnch,Rancho Cordova,5,23
41,WtSc,West Sacramento,5,23
42,Scrm,Sacramento,5,23
43,SnDg,San Diego,5,24
44,Rchm,Richmond,5,25
45,Avon,Avon,5,25
46,Mrtz,Martinez,5,25
47,SoSn,South San Francisco,5,25
48,Slby,Selby,5,25
49,SnJs,San Jose,5,26
50,Rdwd,Redwood City,5,26
51,Stck,Stockton,5,27
52,Bnta,Banta,5,27
53,Aura,Aurora,6,28
54,CmmC,Commerce City,6,28
55,Dpnt,Dupont,6,28
56,Hndr,Henderson,6,28
57,Fntn,Fountain,6,29
58,GJct,Grand Junction,6,30
59,LJta,La Junta,6,31
60,Brgp,Bridgeport,7,32
61,RkHl,Rocky Hill,7,33
62,Ptln,Portland,7,33
63,Wthr,Wethersfield,7,33
64,EHrt,East Hartford,7,33
65,NwHv,New Haven,7,34
