MARKET_ID,NAME,PADD,MARKET,STATE_ID
1,Anchorage,5,"Anchorage, AK",2
2,Anniston,3,"Anniston, AL",1
3,Birmingham,3,"Birmingham, AL",1
4,Mobile,3,"Mobile, AL",1
5,Montgomery,3,"Montgomery, AL",1
6,El Dorado,3,"El Dorado, AR",4
7,Fort Smith,3,"Fort Smith, AR",4
8,Helena,3,"Helena, AR",4
9,Little Rock,3,"Little Rock, AR",4
10,Rogers,3,"Rogers, AR",4
11,West Memphis,3,"West Memphis, AR",4
12,Phoenix,5,"Phoenix, AZ",3
13,Tucson,5,"Tucson, AZ",3
14,Bakersfield,5,"Bakersfield, CA",5
15,Barstow,5,"Barstow, CA",5
16,Brisbane,5,"Brisbane, CA",5
17,Chico,5,"Chico, CA",5
18,Colton,5,"Colton, CA",5
19,Eureka,5,"Eureka, CA",5
20,Fresno,5,"Fresno, CA",5
21,Imperial,5,"Imperial, CA",5
22,Los Angeles,5,"Los Angeles, CA",5
23,Sacramento,5,"Sacramento, CA",5
24,San Diego,5,"San Diego, CA",5
25,San Francisco,5,"San Francisco, CA",5
26,San Jose,5,"San Jose, CA",5
27,Stockton,5,"Stockton, CA",5
28,Denver,4,"Denver, CO",6
29,Fountain,4,"Fountain, CO",6
30,Grand Junction,4,"Grand Junction, CO",6
31,La Junta,4,"La Junta, CO",6
32,Bridgeport,1,"Bridgeport, CT",7
33,Hartford,1,"Hartford, CT",7
34,New Haven,1,"New Haven, CT",7
35,Norwich,1,"Norwich, CT",7
36,Washington,1,"Washington, DC",51
37,Wilmington,1,"Wilmington, DE",8
38,Jacksonville,1,"Jacksonville, FL",9
39,Miami,1,"Miami, FL",9
40,Niceville,1,"Niceville, FL",9
41,Orlando,1,"Orlando, FL",9
42,Panama City,1,"Panama City, FL",9
43,Pensacola,1,"Pensacola, FL",9
45,Tampa,1,"Tampa, FL",9
46,Albany,1,"Albany, GA",10
47,Athens,1,"Athens, GA",10
48,Atlanta,1,"Atlanta, GA",10
49,Bainbridge,1,"Bainbridge, GA",10
50,Columbus,1,"Columbus, GA",10
51,Griffin,1,"Griffin, GA",10
52,Macon,1,"Macon, GA",10
53,Rome,1,"Rome, GA",10
54,Savannah,1,"Savannah, GA",10
55,Honolulu,5,"Honolulu, HI",11
56,Bettendorf,2,"Bettendorf, IA",15
57,Clear Lake,2,"Clear Lake, IA",15
58,Council Bluffs,2,"Council Bluffs, IA",15
59,Des Moines,2,"Des Moines, IA",15
60,Dubuque,2,"Dubuque, IA",15
61,Fort Dodge,2,"Fort Dodge, IA",15
62,Fort Madison,2,"Fort Madison, IA",15
63,Iowa City,2,"Iowa City, IA",15
64,Le Mars,2,"Le Mars, IA",15
65,Milford,2,"Milford, IA",15
66,Ottumwa,2,"Ottumwa, IA",15
67,Rock Rapids,2,"Rock Rapids, IA",15
68,Sioux City,2,"Sioux City, IA",15
69,Waterloo,2,"Waterloo, IA",15
70,Boise,4,"Boise, ID",12
71,Burley,4,"Burley, ID",12
72,Pocatello,4,"Pocatello, ID",12
73,Amboy,2,"Amboy, IL",13
74,Champaign,2,"Champaign, IL",13
75,Chicago,2,"Chicago, IL",13
76,Decatur/Forsyth,2,"Decatur/Forsyth, IL",13
77,Effingham,2,"Effingham, IL",13
78,Hartford/Woodriver,2,"Hartford/Woodriver, IL",13
79,Heyworth,2,"Heyworth, IL",13
80,Kankakee,2,"Kankakee, IL",13
81,Menard,2,"Menard, IL",13
82,Peoria,2,"Peoria, IL",13
83,Robinson,2,"Robinson, IL",13
84,Rockford,2,"Rockford, IL",13
85,Evansville,2,"Evansville, IN",14
86,Hammond,2,"Hammond, IN",14
87,Huntington,2,"Huntington, IN",14
88,Indianapolis,2,"Indianapolis, IN",14
89,Milford,2,"Milford, IN",14
90,Muncie,2,"Muncie, IN",14
91,Princeton,2,"Princeton, IN",14
92,South Bend,2,"South Bend, IN",14
93,Switz City,2,"Switz City, IN",14
94,Coffeyville,2,"Coffeyville, KS",16
95,Concordia,2,"Concordia, KS",16
96,El Dorado,2,"El Dorado, KS",16
97,Great Bend,2,"Great Bend, KS",16
98,Hutchinson,2,"Hutchinson, KS",16
99,Kansas City,2,"Kansas City, KS",16
100,McPherson,2,"McPherson, KS",16
101,Olathe,2,"Olathe, KS",16
102,Phillipsburg,2,"Phillipsburg, KS",16
103,Salina,2,"Salina, KS",16
104,Scott City,2,"Scott City, KS",16
105,Topeka,2,"Topeka, KS",16
106,Wathena,2,"Wathena, KS",16
107,Wichita,2,"Wichita, KS",16
108,Ashland,2,"Ashland, KY",17
109,Covington,2,"Covington, KY",17
110,Lexington,2,"Lexington, KY",17
111,Louisville,2,"Louisville, KY",17
112,Paducah,2,"Paducah, KY",17
113,Arcadia,3,"Arcadia, LA",18
114,Archie,3,"Archie, LA",18
115,Baton Rouge,3,"Baton Rouge, LA",18
116,Convent/Garyville,3,"Convent/Garyville, LA",18
117,Lake Charles,3,"Lake Charles, LA",18
118,Monroe,3,"Monroe, LA",18
119,New Orleans,3,"New Orleans, LA",18
120,Shreveport,3,"Shreveport, LA",18
