ID,NAME,ABBR,PROD_CATEGORY_ID,Short_list
0,None/Unknown,------,9,N
1,High Sulfur #2 Diesel,HS #2,3,N
2,High Sulfur #1 Diesel,HS #1,3,N
3,High Sulfur #2 Premium Diesel,HS PD,3,N
4,High Sulfur #2 PremWinter Diesel,HSPDWB,3,N
5,High Sulfur Kerosene,HSKERO,8,N
6,High Sulfur #2 Winter Diesel,HS#2WB,3,N
7,Low Sulfur #2 Clear Diesel,LS #2,3,N
8,Low Sulfur #1 Clear Diesel,LS #1,3,N
9,Low Sulfur #2 Clear Prem Diesel,LS PD,3,N
10,Low Sulfur #2 Clear PremWinter Diesel,LSPDWB,3,N
11,Low Sulfur Certified Kerosene .04 Sulfur,CertK1,8,N
12,Low Sulfur #2 Clear Winter Diesel,LS#2WB,3,N
13,CARB #2,CARB#2,3,N
14,CARB #1,CARB#1,3,N
15,CARB #2 Dyed,CA#2DY,3,N
16,CARB #1 Dyed,CA#1DY,3,N
17,Low Sulfur #2 Diesel Dyed,LS#2DY,3,N
18,Low Sulfur #1 Diesel Dyed,LS#1DY,3,N
19,Low Sulfur #2 Prem Diesel Dyed,LSPDDY,3,N
20,Low Sulfur #2 PremWinter Diesel Dyed,LPWBDY,3,N
21,Low Sulfur Kerosene Dyed,LSKEDY,8,N
22,Low Sulfur #2 Winter Diesel Dyed,LWBDY,3,N
23,Conv 84 Unleaded CBOB for Blending,84CBOB,6,Y
24,Conv 87 Unleaded Octane,Unl 87,6,Y
25,Conv 89 Midgrade Octane,Mid 89,6,Y
26,Conv 90 Midgrade Octane,Mid 90,6,N
27,Conv 90 Premium Octane,Pre 90,6,Y
28,Conv 91 Premium Octane,Pre 91,6,Y
29,Conv 92 Premium Octane,Pre 92,6,N
30,Conv 93 Premium Octane,Pre 93,6,N
31,Conv 94 Premium Octane,Pre 94,6,N
32,Ultra Low Sulfur #2 Clear Diesel,ULS #2,3,Y
33,Ultra Low Sulfur #1 Clear Diesel,ULS #1,3,Y
34,Ultra Low Sulfur #2 Diesel Dyed,ULS2DY,3,Y
35,Ultra Low Sulfur #1 Diesel Dyed,ULS1DY,3,Y
36,Ultra Low Sulfur Kerosene,ULS K1,8,Y
37,Conv 87 Unleaded with 10% Ethanol,U87E10,6,Y
38,Conv 89 Midgrade with 10% Ethanol,M89E10,6,Y
39,Conv 90 Midgrade with 10% Ethanol,M90E10,6,N
40,Conv 90 Premium with 10% Ethanol,P90E10,6,N
41,Conv 91 Premium with 10% Ethanol,P91E10,6,Y
42,Conv 92 Premium with 10% Ethanol,P92E10,6,Y
43,Conv 93 Premium with 10% Ethanol,P93E10,6,Y
44,Conv 94 Premium with 10% Ethanol,P94E10,6,N
45,Conv 87 Unleaded with 8% Ethanol,U87E8%,6,N
46,Conv 89 Midgrade with 8% Ethanol,M89E8%,6,N
47,Conv 92 Premium with 8% Ethanol,P92E8%,6,N
48,Conv 93 Premium with 8% Ethanol,P93E8%,6,N
49,Conv 87 Unleaded with 7.8% Ethanol,U87E78,6,N
50,Conv 89 Midgrade with 7.8% Ethanol,M89E78,6,N
51,Conv 90 Midgrade with 7.8% Ethanol,M90E78,6,N
52,Conv 90 Premium with 7.8% Ethanol,P90E78,6,N
53,Conv 91 Premium with 7.8% Ethanol,P91E78,6,N
54,Conv 92 Premium with 7.8% Ethanol,P92E78,6,N
55,Conv 93 Premium with 7.8% Ethanol,P93E78,6,N
56,Conv 94 Premium with 7.8% Ethanol,P94E78,6,N
57,Conv 87 Unleaded with MTBE,U87MTB,6,N
58,Conv 89 Midgrade with MTBE,M89MTB,6,N
59,Conv 91 Premium with MTBE,P91MTB,6,N
60,Conv 92 Premium with MTBE,P92MTB,6,N
61,Conv 93 Premium with MTBE,P93MTB,6,N
62,Conv 87 Unleaded Low RVP 7.0,U87L70,6,N
63,Conv 89 Midgrade Low RVP 7.0,M89L70,6,N
64,Conv 91 Premium Low RVP 7.0,P91L70,6,N
65,Conv 92 Premium Low RVP 7.0,P92L70,6,N
66,Conv 93 Premium Low RVP 7.0,P93L70,6,N
67,Conv 87 Unleaded Low RVP 7.2,U87L72,6,N
68,Conv 89 Midgrade Low RVP 7.2,M89L72,6,N
69,Conv 91 Premium Low RVP 7.2,P91L72,6,N
70,Conv 92 Premium Low RVP 7.2,P92L72,6,N
71,Conv 93 Premium Low RVP 7.2,P93L72,6,N
72,Conv 87 Unleaded Low RVP 8.5,U87L85,6,N
73,Conv 89 Midgrade Low RVP 8.5,M89L85,6,N
74,Conv 91 Premium Low RVP 8.5,P91L85,6,N
75,Conv 92 Premium Low RVP 8.5,P92L85,6,N
