ID,TCN,NAME,ABBR,RACK_ID,city_id
1001,T-92-AK-4504,Tesoro West,Tesoro W,1,1
1002,T-92-AK-4505,Tesoro,Tesoro,1,2
1003,T-92-AK-4502,Tesoro East,Tesoro E,1,1
1004,T-92-AK-4501,Flint Hills Resources,FlintHills,1,1
1005,T-92-AK-4503,Flint Hills Resources,FlintHills,408,3
1006,T-63-AL-2333,Murphy,Murphy,2,4
1007,T-72-AL-2343,Allied,Allied,3,5
1008,T-63-AL-2312,Buckeye,Buckeye,3,5
1009,T-92-AK-4500,Chevron,Chevron,1,1
1010,T-63-AL-2301,Chevron,Chevron,3,5
1011,T-63-AL-2302,Citgo,Citgo,3,5
1012,T-63-AL-2303,Crown,Crown,3,5
1013,T-63-AL-2329,Hunt Refining,Hunt Ref,3,6
1014,T-63-AL-2306,Marathon Petroleum Corporation,Marathon,3,5
1015,T-63-AL-2307,Kinder Morgan Energy Partners,KMEP,3,5
1016,T-63-AL-2308,Motiva Enterprise,Motiva,3,5
1017,T-63-AL-2309,Magellan Pipeline Company,Magellan,3,5
1018,T-63-AL-2330,Epic Midstream LLC,Epic,3,7
1019,T-63-AL-2310,Motiva Enterprise old Star Ent terminal,Motiva Tx,3,5
1021,T-63-AL-2314,Radcliff Economy Marine,Radcliff,4,8
1022,T-63-AL-2336,BP Oil Products,BP Oil,4,8
1023,T-63-AL-2315,ElPaso Merchant Petroleum Energy Company,ElPaso,4,8
1024,T-72-AL-2338,Plains All American Pipeline LP,PAA,4,8
1025,T-63-AL-2334,Shell Chemical Company,ShellChem,4,9
1026,T-63-AL-2322,Magellan Pipeline Company,Magellan,5,10
1027,T-63-AL-2304,Buckeye,Buckeye,5,10
1029,T-63-AL-2325,Marathon Petroleum Corporation,Marathon,5,10
1030,T-63-AL-2327,Murphy,Murphy,5,10
1031,T-63-AL-2326,Epic Midstream LLC,Epic,5,10
1032,T-63-AL-2335,Murphy,Murphy,554,11
1033,T-71-AR-2451,Lion Oil,Lion Oil,6,12
1034,T-71-AR-2452,Texas Eastern Petroleum Products Company,TEPPCO,6,12
